Date,Open,High,Low,Close,Adj Close
31-Oct-24,84.0891,84.1865,84.051,84.0891,84.0891
30-Oct-24,84.0893,84.0944,84.045,84.0893,84.0893
29-Oct-24,84.1028,84.1093,84.027,84.1028,84.1028
28-Oct-24,84.102,84.0968,84.058,84.102,84.102
25-Oct-24,84.0818,84.0933,84.058,84.0818,84.0818
24-Oct-24,84.0676,84.082,84.0477,84.0676,84.0676
23-Oct-24,84.084,84.1138,84.059,84.084,84.084
22-Oct-24,84.0735,84.177,84.0598,84.0735,84.0735
21-Oct-24,84.0687,84.0868,84.0386,84.0687,84.0687
18-Oct-24,84.0538,84.0778,84.0183,84.0538,84.0538
17-Oct-24,84.0393,84.0879,84.003,84.0393,84.0393
16-Oct-24,84.0562,84.0943,83.99,84.0562,84.0562
15-Oct-24,84.0485,84.0728,84.0181,84.0485,84.0485
14-Oct-24,84.1683,84.1684,83.9767,84.1683,84.1683
11-Oct-24,83.946,84.1245,83.9415,83.946,83.946
10-Oct-24,83.9422,83.9806,83.9223,83.9422,83.9422
9-Oct-24,83.9146,83.9777,83.781,83.9146,83.9146
8-Oct-24,83.9641,84.1002,83.916,83.9641,83.9641
7-Oct-24,84.0278,84.0278,83.95,84.0278,84.0278
4-Oct-24,84.0094,84.0428,83.9453,84.0094,84.0094
3-Oct-24,83.9196,84.0321,83.893,83.9196,83.9196
2-Oct-24,83.8721,84.0071,83.8545,83.8721,83.8721
1-Oct-24,83.8273,83.9496,83.7604,83.8273,83.8273
30-Sep-24,83.7164,83.9095,83.6449,83.7164,83.7164
27-Sep-24,83.6171,83.708,83.5636,83.6171,83.6171
26-Sep-24,83.6241,83.7126,83.5732,83.6241,83.6241
25-Sep-24,83.5676,83.6365,83.4401,83.5676,83.5676
24-Sep-24,83.5596,83.7713,83.5154,83.5596,83.5596
23-Sep-24,83.4871,83.6738,83.4634,83.4871,83.4871
20-Sep-24,83.6147,83.6274,83.4734,83.6147,83.6147
19-Sep-24,83.6917,83.7645,83.565,83.6917,83.6917
18-Sep-24,83.7706,83.8677,83.6593,83.7706,83.7706
17-Sep-24,83.884,83.9076,83.7049,83.884,83.884
16-Sep-24,83.8848,83.9149,83.8396,83.8848,83.8848
13-Sep-24,83.9348,84.0253,83.855,83.9348,83.9348
12-Sep-24,83.9926,83.9936,83.903,83.9926,83.9926
