region,Type 2 diabete ratio (%),"Two, or more, chronic diseases ration (%)",Chronic heart disease ratio (%),Obesity rate (%),Prevalence of respiratory system diseases (%),Asthma (ever diagnosed) ratio (%),Daily smoker (%),Vaccines 1 (%),Vaccines 2 (%),Vaccines 3 (%),Ratio of Employed people for Hospitals,Median weekly household income (AUD),Median age,,,,
Towong,5,28,9,26.1,14.6,24,9,95,95,77.5,6,1282,52,,,,
Wangaratta,5,27,6,24.6,13.6,27,8,95,95,77.3,7.6,1326,45,,,,
Warrnambool,4,30,6,24,12.9,27,15,95,95,79.6,6.6,1420,42,,,,
Wellington,7,25,7,24.8,13.7,19,11,95,95,73,5.7,1272,44,,,,
West Wimmera,6,24,8,26.9,15.4,14,14,95,94.5,79.9,8.8,1207,51,,,,
Whitehorse,4,23,5,20.6,9,20,6,95,95,79.8,4.8,1841,39,,,,
Whittlesea,6,28,7,22.7,10.4,19,18,95,95,65.4,4.6,1768,35,,,,
Wodonga,8,32,8,23.7,12.7,23,13,95,95,74.7,4.5,1498,38,,,,
Wyndham,7,24,6,22.5,10.2,16,15,95,95,68.4,3.1,2023,32,,,,
Yarra,4,22,3,19.9,8.5,22,10,86.5,85.6,83.6,6.2,2270,34,,,,
Yarra Ranges,5,29,6,23,11.9,21,11,95,95,73.8,3.4,1881,40,,,,
Yarriambiack,6,34,8,26.5,14.9,23,18,95,95,81.2,9.4,1102,52,,,,
